experiment_name,task_mode,backbone_name,input_mode,fusion_type,split,folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,run_root
single_view,2class,resnet18,triple_view,single_view,val,3,0.77487922705314,0.09189162660528051,0.7954774637127578,0.07792286982126805,0.7714052136622079,0.09456474934279321,0.7686390399754026,0.0977307393188139,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_single_view
single_view,2class,resnet18,triple_view,single_view,test,3,0.7754535147392291,0.029021510745157166,0.7521613304820136,0.05708525277405915,0.7485012239490613,0.04348727307330609,0.7702517417180799,0.03391823453121857,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_single_view
mlp_concat,2class,resnet18,triple_view,mlp_concat,val,3,0.8855815681902638,0.06073235988651099,0.8824955436720142,0.06764934437995705,0.8824211553582946,0.0634003673486425,0.8846463282829217,0.06186171811116733,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_mlp_concat
mlp_concat,2class,resnet18,triple_view,mlp_concat,test,3,0.8343805943430004,0.042617513631849034,0.8246900193769264,0.06470389275609953,0.8191919680646841,0.053658819910194014,0.8335957886346816,0.045948397895804245,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_mlp_concat
cross_attention,2class,resnet18,triple_view,cross_attention,val,3,0.8727424749163879,0.09875104910910237,0.8797860962566845,0.09120359134751878,0.8724758908535138,0.09860513314282843,0.8723018727160868,0.09915655573104534,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_cross_attention
cross_attention,2class,resnet18,triple_view,cross_attention,test,3,0.8347371404702232,0.0713168364970509,0.8063266166681726,0.08791916010871341,0.8124154279125638,0.08518189914472975,0.8304822386254963,0.07504882043334606,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_cross_attention
resnet18_ir_only_single_view_2class,2class,resnet18,ir_only,single_view,val,3,0.7513749535488665,0.16952419331912055,0.7579594261947203,0.14202762200055663,0.728665190806603,0.19010792612848837,0.7247285915309579,0.2018858384173387,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_ir_only_single_view
resnet18_ir_only_single_view_2class,2class,resnet18,ir_only,single_view,test,3,0.7547164041055018,0.0933260589906558,0.6916086864853468,0.11987234844079118,0.692757758985982,0.12835653968134988,0.7308515312699415,0.10944803296733882,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_ir_only_single_view
resnet18_rgb_dual_mlp_concat_2class,2class,resnet18,rgb_dual,mlp_concat,val,3,0.8906168710516537,0.10460210751357137,0.8975757575757576,0.08977883242250281,0.8883366618007755,0.10612078417534752,0.8875811189827392,0.10851858705063261,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_rgb_dual_mlp_concat
resnet18_rgb_dual_mlp_concat_2class,2class,resnet18,rgb_dual,mlp_concat,test,3,0.8730434717746748,0.09104066407118827,0.8505875827033322,0.09813079031494083,0.8588469597789743,0.10109478853430891,0.8714794629737327,0.09190266605042348,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_rgb_dual_mlp_concat
