family,experiment_name,task_mode,method,input_mode,stage,split,folds,backbone_name,fusion_type,run_root,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,folded_2class_macro_f1_mean,folded_2class_macro_f1_std
classic,official_cv_2class_cross_attention,2class,baseline,triple_view,after,transfer_test,3,resnet18,cross_attention,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_cross_attention,0.5915841584158416,0.059233798996031574,0.5864599914095859,0.010590918552459975,0.5434888315477266,0.056398250486978906,0.550929188062815,0.0808715031525125,0.0,0.0
classic,official_cv_2class_mlp_concat,2class,baseline,triple_view,after,transfer_test,3,resnet18,mlp_concat,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_mlp_concat,0.5924092409240924,0.04592382854810476,0.5373472464353992,0.022480260989891716,0.4788146885192437,0.050761011683112756,0.5171319595842738,0.03628863257315941,0.0,0.0
classic,official_cv_2class_single_view,2class,baseline,triple_view,after,transfer_test,3,resnet18,single_view,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_single_view,0.485973597359736,0.06704017513456066,0.46461086266285995,0.018910933111596757,0.4160884396533691,0.03300377840401553,0.4356252805244776,0.05622094372917046,0.0,0.0
classic,official_cv_3class_cross_attention,3class,baseline,triple_view,after,transfer_test,3,resnet18,cross_attention,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_cross_attention,0.42409240924092406,0.01166842873245129,0.38726193446440454,0.07258371130068998,0.2721293661800968,0.10131393447627762,0.2999397039658631,0.07468379184968219,0.3852589169738558,0.12455654860704872
classic,official_cv_3class_mlp_concat,3class,baseline,triple_view,after,transfer_test,3,resnet18,mlp_concat,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_mlp_concat,0.4447194719471947,0.05934861553912358,0.4035674827714601,0.026437039422669683,0.3475060041475981,0.026060226484635997,0.37087682659797755,0.03949118777409431,0.4165474144224645,0.044790308416172576
classic,official_cv_3class_single_view,3class,baseline,triple_view,after,transfer_test,3,resnet18,single_view,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_single_view,0.44224422442244227,0.07088990601983695,0.4291238814420089,0.09484133020597671,0.393921917368071,0.09191874786574755,0.4030689337799457,0.07666210549508148,0.4516529187031653,0.056221864121320686
classic,resnet18_ir_only_single_view_2class,2class,baseline,ir_only,after,transfer_test,3,resnet18,single_view,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_ir_only_single_view,0.6229372937293729,0.030337914704373352,0.545680790318098,0.03813920008032127,0.4618944412382676,0.07452441686945316,0.5127774547339822,0.06396713296041807,0.0,0.0
classic,resnet18_ir_only_single_view_3class,3class,baseline,ir_only,after,transfer_test,3,resnet18,single_view,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_ir_only_single_view,0.4430693069306931,0.007286931407861266,0.42995311937287506,0.01026546194798336,0.35222996934835976,0.02336613007458822,0.37882605970016653,0.01755042679168329,0.6180480864584925,0.021291189893261266
classic,resnet18_rgb_dual_mlp_concat_2class,2class,baseline,rgb_dual,after,transfer_test,3,resnet18,mlp_concat,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_rgb_dual_mlp_concat,0.6155115511551155,0.03040515804073976,0.5585116686458307,0.01625697558180217,0.5103814390656648,0.04523686240397755,0.5474887784503442,0.03197427003369257,0.0,0.0
classic,resnet18_rgb_dual_mlp_concat_3class,3class,baseline,rgb_dual,after,transfer_test,3,resnet18,mlp_concat,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_rgb_dual_mlp_concat,0.4174917491749175,0.0030871760616946737,0.3455108132359135,0.012494269135335448,0.2305997630447873,0.03841945595983494,0.2693881720340618,0.029328900057396485,0.3186894726320232,0.02854525294840368
classic,resnet18_triple_view_late_fusion_2class,2class,baseline,triple_view,after,transfer_test,3,resnet18,late_fusion,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_triple_view_late_fusion,0.6452145214521452,0.029449782669265286,0.5909025830196147,0.05031054348360646,0.5523439152224462,0.09862384298085977,0.5864997314158897,0.08170917511135785,0.0,0.0
classic,resnet18_triple_view_late_fusion_3class,3class,baseline,triple_view,after,transfer_test,3,resnet18,late_fusion,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_triple_view_late_fusion,0.523102310231023,0.06776735709036656,0.4973074683965402,0.09543558012684517,0.423610461688992,0.11100373848664848,0.4445396347498936,0.09324346481282142,0.513551619221728,0.13308082893831166
prompt_qwen,data1_official_cv_2class_baseline,2class,baseline,triple_view,after,transfer_test,3,qwen2vl_prompt,prompt_candidate_score,/home/gjw/code/Qwen-SLM/runs/data1_official_cv_2class_baseline,0.5264026402640264,0.08517952974689431,0.4958269115776885,0.005901638243815054,0.34710429891850053,0.032004346550178,0.37424283255949486,0.08422336905055852,0.0,0.0
prompt_qwen,data1_official_cv_2class_baseline,2class,baseline,triple_view,before,transfer_test,3,qwen2vl_prompt,prompt_candidate_score,/home/gjw/code/Qwen-SLM/runs/data1_official_cv_2class_baseline,0.41336633663366334,0.0,0.5,0.0,0.29246935201401053,0.0,0.24179396923930574,0.0,0.0,0.0
prompt_qwen,data1_official_cv_3class_baseline,3class,baseline,triple_view,after,transfer_test,3,qwen2vl_prompt,prompt_candidate_score,/home/gjw/code/Qwen-SLM/runs/data1_official_cv_3class_baseline,0.4752475247524752,0.010501585859206134,0.45855889520652887,0.028600463214029006,0.4073435001568468,0.05106852988719739,0.42012121182468737,0.03581006323156242,0.5030632390052954,0.013227333652994751
prompt_qwen,data1_official_cv_3class_baseline,3class,baseline,triple_view,before,transfer_test,3,qwen2vl_prompt,prompt_candidate_score,/home/gjw/code/Qwen-SLM/runs/data1_official_cv_3class_baseline,0.41336633663366334,0.0,0.3333333333333333,0.0,0.19497956800934035,0.0,0.24179396923930574,0.0,0.29246935201401053,0.0
